,Date,Currency Code,Currency,50-day_MA
0,20250926,AED,381.31,
1,20250929,AED,384.35,
2,20250930,AED,381.81,
3,20251001,AED,382.07,
4,20251002,AED,382.84,382.476
5,20251010,AED,381.72,382.34999999999997
6,20251013,AED,386.78,382.98285714285714
7,20251014,AED,388.7,383.6975
8,20251015,AED,388.96,384.28222222222223
9,20251016,AED,387.85,384.639
10,20251017,AED,386.4,384.7990909090909
11,20251020,AED,386.51,384.94166666666666
12,20251021,AED,386.7,385.0769230769231
13,20251022,AED,387.65,385.26071428571424
14,20251023,AED,389.4,385.5366666666667
15,20251024,AED,391.12,385.885625
16,20251027,AED,391.04,386.18882352941176
17,20251028,AED,390.01,386.4011111111111
18,20251029,AED,390.54,386.61894736842106
19,20251030,AED,390.19,386.7975
20,20251031,AED,387.48,386.83000000000004
21,20251103,AED,388.66,386.91318181818184
22,20251104,AED,389.11,387.00869565217397
23,20251105,AED,391.47,387.19458333333336
24,20251106,AED,394.01,387.4672
25,20251107,AED,393.62,387.70384615384614
26,20251110,AED,395.88,388.00666666666666
27,20251111,AED,395.83,388.28607142857146
28,20251112,AED,398.37,388.6337931034482
29,20251113,AED,399.28,388.9886666666667
30,20251114,AED,400.14,389.34838709677416
31,20251117,AED,397.12,389.59125
32,20251118,AED,397.08,389.8181818181818
33,20251119,AED,398.92,390.08588235294116
34,20251120,AED,398.91,390.338
35,20251121,AED,399.79,390.60055555555556
36,20251124,AED,400.82,390.8767567567568
37,20251125,AED,401.21,391.1486842105263
38,20251126,AED,401.21,391.4066666666667
39,20251127,AED,398.27,391.57824999999997
40,20251128,AED,398.82,391.7548780487805
41,20251201,AED,399.15,391.93095238095236
42,20251202,AED,400.02,392.11906976744183
43,20251203,AED,400.15,392.3015909090909
44,20251204,AED,399.91,392.47066666666666
45,20251205,AED,400.67,392.6489130434782
46,20251208,AED,400.82,392.8227659574468
47,20251209,AED,399.93,392.9708333333333
48,20251210,AED,400.39,393.1222448979592
49,20251211,AED,400.38,393.26739999999995
