,Date,Currency Code,Currency,50-day_MA
0,20250926,EUR,1633.99,
1,20250929,EUR,1652.35,
2,20250930,EUR,1644.5,
3,20251001,EUR,1647.71,
4,20251002,EUR,1650.08,1645.7259999999999
5,20251010,EUR,1620.6,1641.5383333333332
6,20251013,EUR,1649.2,1642.6328571428571
7,20251014,EUR,1651.14,1643.69625
8,20251015,EUR,1657.52,1645.2322222222222
9,20251016,EUR,1658.93,1646.602
10,20251017,EUR,1659.92,1647.8127272727272
11,20251020,EUR,1654.57,1648.3758333333333
12,20251021,EUR,1653.61,1648.7784615384614
13,20251022,EUR,1651.56,1648.9771428571428
14,20251023,EUR,1660.49,1649.7446666666665
15,20251024,EUR,1668.83,1650.9375
16,20251027,EUR,1669.83,1652.0488235294117
17,20251028,EUR,1668.93,1652.9866666666667
18,20251029,EUR,1671.03,1653.9363157894738
19,20251030,EUR,1662.71,1654.375
20,20251031,EUR,1646.5,1654.0
21,20251103,EUR,1646.72,1653.669090909091
22,20251104,EUR,1646.14,1653.341739130435
23,20251105,EUR,1650.91,1653.2404166666665
24,20251106,EUR,1663.25,1653.6408
25,20251107,EUR,1669.45,1654.2488461538462
26,20251110,EUR,1679.15,1655.1711111111113
27,20251111,EUR,1680.4,1656.0721428571428
28,20251112,EUR,1694.75,1657.4058620689655
29,20251113,EUR,1700.0,1658.8256666666666
30,20251114,EUR,1708.96,1660.4429032258065
31,20251117,EUR,1695.29,1661.531875
32,20251118,EUR,1690.46,1662.408484848485
33,20251119,EUR,1696.77,1663.4191176470588
34,20251120,EUR,1690.54,1664.194
35,20251121,EUR,1692.4,1664.9775
36,20251124,EUR,1694.42,1665.7732432432433
37,20251125,EUR,1697.84,1666.6171052631578
38,20251126,EUR,1704.99,1667.6010256410257
39,20251127,EUR,1696.37,1668.32025
40,20251128,EUR,1699.17,1669.0726829268292
41,20251201,EUR,1701.18,1669.837142857143
42,20251202,EUR,1705.55,1670.6676744186047
43,20251203,EUR,1708.56,1671.5288636363637
44,20251204,EUR,1713.97,1672.4720000000002
45,20251205,EUR,1713.19,1673.3571739130434
46,20251208,EUR,1713.82,1674.218085106383
47,20251209,EUR,1709.62,1674.9556249999998
48,20251210,EUR,1709.78,1675.6663265306122
49,20251211,EUR,1720.07,1676.5544
