,Date,Currency Code,Currency,50-day_MA
0,20250926,GBP,1868.41,
1,20250929,GBP,1892.39,
2,20250930,GBP,1883.72,
3,20251001,GBP,1887.3,
4,20251002,GBP,1895.5,
5,20251010,GBP,1863.9,
6,20251013,GBP,1896.08,
7,20251014,GBP,1902.91,
8,20251015,GBP,1902.63,
9,20251016,GBP,1908.98,
10,20251017,GBP,1907.48,
11,20251020,GBP,1905.68,
12,20251021,GBP,1903.64,
13,20251022,GBP,1903.42,
14,20251023,GBP,1910.11,
15,20251024,GBP,1914.41,
16,20251027,GBP,1913.1,
17,20251028,GBP,1910.88,
18,20251029,GBP,1903.46,
19,20251030,GBP,1890.63,
20,20251031,GBP,1872.15,
21,20251103,GBP,1875.82,
22,20251104,GBP,1877.35,
23,20251105,GBP,1871.81,
24,20251106,GBP,1888.26,
25,20251107,GBP,1898.8,
26,20251110,GBP,1911.79,
27,20251111,GBP,1915.54,
28,20251112,GBP,1924.03,
29,20251113,GBP,1925.53,
30,20251114,GBP,1933.49,
31,20251117,GBP,1920.48,
32,20251118,GBP,1918.47,
33,20251119,GBP,1926.52,
34,20251120,GBP,1912.7,
35,20251121,GBP,1919.2,
36,20251124,GBP,1927.95,
37,20251125,GBP,1931.54,
38,20251126,GBP,1940.53,
39,20251127,GBP,1937.13,
40,20251128,GBP,1939.32,
41,20251201,GBP,1941.0,
42,20251202,GBP,1940.9,
43,20251203,GBP,1942.08,
44,20251204,GBP,1960.79,
45,20251205,GBP,1960.7,
46,20251208,GBP,1961.57,
47,20251209,GBP,1957.15,
48,20251210,GBP,1955.85,
49,20251211,GBP,1968.13,1914.4242000000002
