,Date,Currency Code,Currency,50-day_MA
0,20250926,HKD,179.95,
1,20250929,HKD,181.44,
2,20250930,HKD,180.15,
3,20251001,HKD,180.3,
4,20251002,HKD,180.69,180.506
5,20251010,HKD,180.15,180.4466666666667
6,20251013,HKD,182.53,180.74428571428572
7,20251014,HKD,183.52,181.09125
8,20251015,HKD,183.74,181.38555555555556
9,20251016,HKD,183.2,181.567
10,20251017,HKD,182.62,181.66272727272727
11,20251020,HKD,182.75,181.75333333333333
12,20251021,HKD,182.81,181.83461538461538
13,20251022,HKD,183.19,181.93142857142857
14,20251023,HKD,184.02,182.07066666666665
15,20251024,HKD,184.85,182.244375
16,20251027,HKD,184.84,182.39705882352942
17,20251028,HKD,184.41,182.5088888888889
18,20251029,HKD,184.62,182.62
19,20251030,HKD,184.41,182.7095
20,20251031,HKD,183.17,182.73142857142858
21,20251103,HKD,183.68,182.77454545454546
22,20251104,HKD,183.86,182.82173913043476
23,20251105,HKD,184.94,182.91
24,20251106,HKD,186.12,183.0384
25,20251107,HKD,185.91,183.14884615384614
26,20251110,HKD,186.96,183.29
27,20251111,HKD,187.0,183.42249999999999
28,20251112,HKD,188.27,183.5896551724138
29,20251113,HKD,188.7,183.76000000000002
30,20251114,HKD,189.11,183.9325806451613
31,20251117,HKD,187.65,184.04875
32,20251118,HKD,187.58,184.15575757575758
33,20251119,HKD,188.22,184.27529411764704
34,20251120,HKD,188.08,184.38400000000001
35,20251121,HKD,188.64,184.50222222222223
36,20251124,HKD,189.12,184.62702702702703
37,20251125,HKD,189.35,184.7513157894737
38,20251126,HKD,189.49,184.8728205128205
39,20251127,HKD,188.06,184.95250000000001
40,20251128,HKD,188.31,185.03439024390244
41,20251201,HKD,188.29,185.11190476190475
42,20251202,HKD,188.63,185.19372093023256
43,20251203,HKD,188.8,185.27568181818182
44,20251204,HKD,188.69,185.35155555555554
45,20251205,HKD,189.07,185.43239130434782
46,20251208,HKD,189.1,185.51042553191488
47,20251209,HKD,188.8,185.57895833333336
48,20251210,HKD,188.94,185.64755102040814
49,20251211,HKD,189.0,185.7146
