,Date,Currency Code,Currency,50-day_MA
0,20250926,IDR(100),8.37,
1,20250929,IDR(100),8.44,
2,20250930,IDR(100),8.41,
3,20251001,IDR(100),8.42,
4,20251002,IDR(100),8.47,8.422
5,20251010,IDR(100),8.47,8.43
6,20251013,IDR(100),8.58,8.45142857142857
7,20251014,IDR(100),8.62,8.4725
8,20251015,IDR(100),8.62,8.488888888888889
9,20251016,IDR(100),8.6,8.5
10,20251017,IDR(100),8.56,8.505454545454546
11,20251020,IDR(100),8.56,8.51
12,20251021,IDR(100),8.57,8.514615384615384
13,20251022,IDR(100),8.58,8.519285714285713
14,20251023,IDR(100),8.63,8.526666666666667
15,20251024,IDR(100),8.64,8.53375
16,20251027,IDR(100),8.65,8.540588235294118
17,20251028,IDR(100),8.62,8.545
18,20251029,IDR(100),8.64,8.549999999999999
19,20251030,IDR(100),8.62,8.5535
20,20251031,IDR(100),8.55,8.553333333333333
21,20251103,IDR(100),8.58,8.554545454545455
22,20251104,IDR(100),8.58,8.555652173913044
23,20251105,IDR(100),8.61,8.557916666666666
24,20251106,IDR(100),8.66,8.562000000000001
25,20251107,IDR(100),8.66,8.56576923076923
26,20251110,IDR(100),8.71,8.571111111111112
27,20251111,IDR(100),8.73,8.576785714285714
28,20251112,IDR(100),8.77,8.58344827586207
29,20251113,IDR(100),8.78,8.59
30,20251114,IDR(100),8.79,8.596451612903227
31,20251117,IDR(100),8.74,8.6009375
32,20251118,IDR(100),8.72,8.604545454545454
33,20251119,IDR(100),8.75,8.608823529411765
34,20251120,IDR(100),8.78,8.613714285714286
35,20251121,IDR(100),8.78,8.618333333333332
36,20251124,IDR(100),8.82,8.623783783783784
37,20251125,IDR(100),8.83,8.62921052631579
38,20251126,IDR(100),8.84,8.634615384615385
39,20251127,IDR(100),8.78,8.63825
40,20251128,IDR(100),8.8,8.64219512195122
41,20251201,IDR(100),8.8,8.64595238095238
42,20251202,IDR(100),8.82,8.65
43,20251203,IDR(100),8.84,8.654318181818182
44,20251204,IDR(100),8.84,8.658444444444445
45,20251205,IDR(100),8.84,8.662391304347826
46,20251208,IDR(100),8.85,8.666382978723403
47,20251209,IDR(100),8.8,8.669166666666667
48,20251210,IDR(100),8.82,8.672244897959184
49,20251211,IDR(100),8.81,8.675
