,Date,Currency Code,Currency,50-day_MA
0,20251013,JPY(100),935.49,
1,20251014,JPY(100),937.0,
2,20251015,JPY(100),940.88,
3,20251016,JPY(100),943.59,
4,20251017,JPY(100),944.68,940.3280000000001
5,20251020,JPY(100),940.66,940.3833333333333
6,20251021,JPY(100),941.9,940.6
7,20251022,JPY(100),937.2,940.175
8,20251023,JPY(100),941.2,940.2888888888889
9,20251024,JPY(100),941.23,940.383
10,20251027,JPY(100),937.77,940.1454545454545
11,20251028,JPY(100),937.75,939.9458333333333
12,20251029,JPY(100),942.84,940.1684615384615
13,20251030,JPY(100),938.38,940.0407142857142
14,20251031,JPY(100),923.62,938.946
15,20251103,JPY(100),926.1,938.143125
16,20251104,JPY(100),926.69,937.4694117647059
17,20251105,JPY(100),935.61,937.3661111111111
18,20251106,JPY(100),939.43,937.4747368421052
19,20251107,JPY(100),944.87,937.8444999999999
20,20251110,JPY(100),945.54,938.2109523809524
21,20251111,JPY(100),943.26,938.4404545454545
22,20251112,JPY(100),949.33,938.9139130434783
23,20251113,JPY(100),947.75,939.2820833333334
24,20251114,JPY(100),950.67,939.7375999999999
25,20251117,JPY(100),944.1,939.9053846153846
26,20251118,JPY(100),939.51,939.8907407407407
27,20251119,JPY(100),942.13,939.9707142857143
28,20251120,JPY(100),932.76,939.7220689655172
29,20251121,JPY(100),933.03,939.499
30,20251124,JPY(100),939.94,939.5132258064516
31,20251125,JPY(100),939.04,939.4984375
32,20251126,JPY(100),944.01,939.6351515151515
33,20251127,JPY(100),935.56,939.515294117647
34,20251128,JPY(100),937.29,939.4517142857143
35,20251201,JPY(100),939.47,939.4522222222222
36,20251202,JPY(100),945.15,939.6062162162162
37,20251203,JPY(100),942.96,939.6944736842105
38,20251204,JPY(100),946.33,939.8646153846154
39,20251205,JPY(100),948.59,940.0827499999999
40,20251208,JPY(100),948.09,940.2780487804879
41,20251209,JPY(100),942.06,940.3204761904761
42,20251210,JPY(100),937.67,940.2588372093022
43,20251211,JPY(100),942.81,940.3168181818182
