,Date,Currency Code,Currency,50-day_MA
0,20250926,SGD,1082.14,
1,20250929,SGD,1092.61,
2,20250930,SGD,1087.1,
3,20251001,SGD,1088.22,
4,20251002,SGD,1091.95,
5,20251010,SGD,1078.68,
6,20251013,SGD,1095.18,
7,20251014,SGD,1099.03,
8,20251015,SGD,1100.17,
9,20251016,SGD,1099.54,
10,20251017,SGD,1097.48,
11,20251020,SGD,1095.72,
12,20251021,SGD,1097.78,
13,20251022,SGD,1096.5,
14,20251023,SGD,1102.03,
15,20251024,SGD,1106.31,
16,20251027,SGD,1106.18,
17,20251028,SGD,1105.07,
18,20251029,SGD,1108.42,
19,20251030,SGD,1104.69,
20,20251031,SGD,1094.64,
21,20251103,SGD,1096.95,
22,20251104,SGD,1095.31,
23,20251105,SGD,1099.2,
24,20251106,SGD,1107.33,
25,20251107,SGD,1108.29,
26,20251110,SGD,1116.83,
27,20251111,SGD,1115.91,
28,20251112,SGD,1124.76,
29,20251113,SGD,1126.53,
30,20251114,SGD,1129.69,
31,20251117,SGD,1123.35,
32,20251118,SGD,1119.53,
33,20251119,SGD,1125.52,
34,20251120,SGD,1121.4,
35,20251121,SGD,1122.63,
36,20251124,SGD,1126.07,
37,20251125,SGD,1129.29,
38,20251126,SGD,1132.37,
39,20251127,SGD,1127.54,
40,20251128,SGD,1129.55,
41,20251201,SGD,1131.23,
42,20251202,SGD,1133.87,
43,20251203,SGD,1133.6,
44,20251204,SGD,1135.23,
45,20251205,SGD,1135.42,
46,20251208,SGD,1135.92,
47,20251209,SGD,1132.18,
48,20251210,SGD,1133.78,
49,20251211,SGD,1137.38,1112.322
