,Date,Currency Code,Currency,50-day_MA
0,20250926,THB,43.48,
1,20250929,THB,43.78,
2,20250930,THB,43.52,
3,20251001,THB,43.26,
4,20251002,THB,43.43,
5,20251010,THB,42.75,
6,20251013,THB,43.53,
7,20251014,THB,43.81,
8,20251015,THB,43.74,
9,20251016,THB,43.79,
10,20251017,THB,43.65,
11,20251020,THB,43.28,
12,20251021,THB,43.62,
13,20251022,THB,43.36,
14,20251023,THB,43.6,
15,20251024,THB,43.77,
16,20251027,THB,43.91,
17,20251028,THB,43.88,
18,20251029,THB,44.32,
19,20251030,THB,44.24,
20,20251031,THB,43.99,
21,20251103,THB,44.07,
22,20251104,THB,44.02,
23,20251105,THB,44.13,
24,20251106,THB,44.51,
25,20251107,THB,44.6,
26,20251110,THB,44.88,
27,20251111,THB,44.99,
28,20251112,THB,45.13,
29,20251113,THB,45.31,
30,20251114,THB,45.43,
31,20251117,THB,45.01,
32,20251118,THB,44.93,
33,20251119,THB,45.22,
34,20251120,THB,45.1,
35,20251121,THB,45.29,
36,20251124,THB,45.44,
37,20251125,THB,45.47,
38,20251126,THB,45.67,
39,20251127,THB,45.4,
40,20251128,THB,45.45,
41,20251201,THB,45.65,
42,20251202,THB,45.87,
43,20251203,THB,45.91,
44,20251204,THB,46.06,
45,20251205,THB,45.95,
46,20251208,THB,46.18,
47,20251209,THB,46.06,
48,20251210,THB,46.2,
49,20251211,THB,46.24,44.6176
