,Date,Currency Code,Currency,50-day_MA
0,20250926,USD,1400.4,
1,20250929,USD,1411.6,
2,20250930,USD,1402.2,
3,20251001,USD,1403.2,
4,20251002,USD,1406.0,
5,20251010,USD,1401.9,
6,20251013,USD,1420.5,
7,20251014,USD,1427.7,
8,20251015,USD,1428.4,
9,20251016,USD,1424.4,
10,20251017,USD,1419.1,
11,20251020,USD,1419.5,
12,20251021,USD,1420.2,
13,20251022,USD,1423.7,
14,20251023,USD,1430.1,
15,20251024,USD,1436.6,
16,20251027,USD,1436.1,
17,20251028,USD,1432.5,
18,20251029,USD,1434.3,
19,20251030,USD,1433.0,
20,20251031,USD,1423.2,
21,20251103,USD,1427.4,
22,20251104,USD,1429.0,
23,20251105,USD,1437.7,
24,20251106,USD,1447.0,
25,20251107,USD,1445.6,
26,20251110,USD,1454.0,
27,20251111,USD,1453.7,
28,20251112,USD,1463.2,
29,20251113,USD,1466.4,
30,20251114,USD,1469.5,
31,20251117,USD,1458.5,
32,20251118,USD,1458.3,
33,20251119,USD,1465.2,
34,20251120,USD,1465.0,
35,20251121,USD,1468.4,
36,20251124,USD,1472.0,
37,20251125,USD,1473.5,
38,20251126,USD,1473.5,
39,20251127,USD,1462.7,
40,20251128,USD,1464.8,
41,20251201,USD,1465.9,
42,20251202,USD,1469.1,
43,20251203,USD,1469.6,
44,20251204,USD,1468.7,
45,20251205,USD,1471.5,
46,20251208,USD,1472.1,
47,20251209,USD,1469.0,
48,20251210,USD,1470.4,
49,20251211,USD,1470.4,1444.3339999999998
