Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,18,3.6729,4.900759618,3.10880829,56869.5463,-15.358,-17.675,-14.409,57.595,39.294,-8.393,-21.342,-16.181,57.885,23.059
Argentina,ARG,ARS,7300,1050.0001,6.95238029,1260.794473,3251.010228,20.076,16.789,21.423,123.57,97.607,56.709,34.557,43.387,170.09,110.513
Australia,AUS,AUD,7.75,1.591216485,4.8704875,1.33851468,72534.28103,-15.881,-18.184,-14.937,56.622,38.434,-13.284,-25.542,-20.656,49.456,16.489
Azerbaijan,AZE,AZN,6.24,1.7,3.670588235,1.077720207,11270.24613,-36.605,-38.34,-35.893,18.036,4.329,-19.735,-31.081,-26.558,38.338,7.823
Bahrain,BHR,BHD,1.7,0.377,4.50928382,0.293609672,37418.01805,-22.119,-24.251,-21.246,45.006,28.167,-10.146,-22.848,-17.784,54.864,20.704
Brazil,BRA,BRL,23.9,5.9367,4.025805582,4.127806563,12423.50246,-30.47,-32.373,-29.69,29.459,14.425,-12.344,-24.735,-19.795,51.076,17.752
Canada,CAN,CAD,7.81,1.43845,5.429455316,1.348877375,53648.38817,-6.227,-8.794,-5.175,74.597,54.321,2.541,-11.954,-6.176,76.73,37.747
Switzerland,CHE,CHF,7.2,0.90085,7.992451574,1.243523316,73344.61592,38.039,34.261,39.588,157.016,127.169,41.952,21.886,29.885,144.655,90.689
Chile,CHL,CLP,4490,987.25,4.547986832,775.4749568,18209.65397,-21.451,-23.601,-20.57,46.251,29.267,-3.054,-16.758,-11.296,67.087,30.231
China,CHN,CNY,25.5,7.24785,3.518284733,4.404145078,20262.57637,-39.235,-40.898,-38.553,13.139,0,-25.559,-36.081,-31.887,28.3,0
Colombia,COL,COP,21900,4232.22,5.174589223,3782.38342,7961.850843,-10.629,-13.075,-9.626,66.401,47.077,14.565,-1.63,4.826,97.454,53.9
Costa Rica,CRI,CRC,2990,506.625,5.901801135,516.4075993,17265.30059,1.931,-0.859,3.075,89.786,67.747,26.237,8.392,15.505,117.57,69.578
Czech Republic,CZE,CZK,109,23.8918,4.562234742,18.82556131,37296.68499,-21.205,-23.362,-20.321,46.709,29.672,-9.053,-21.909,-16.785,56.747,22.172
Denmark,DNK,DKK,39,7.1077,5.487007049,6.735751295,70187.2148,-5.233,-7.827,-4.17,76.447,55.957,-1.607,-15.515,-9.971,69.582,32.175
Egypt,EGY,EGP,135,50.25,2.686567164,23.31606218,4140.286223,-53.6,-54.87,-53.079,-13.607,-23.64,-39.65,-48.181,-44.78,4.014,-18.929
Euro area,EUZ,EUR,5.67,0.95247,5.9529434,0.979274611,42877.72374,2.814,0,3.968,91.431,69.2,16.463,0,6.563,100.725,56.449
Britain,GBR,GBP,4.59,0.80164,5.725762188,0.792746114,50367.33741,-1.109,-3.816,0,84.125,62.743,9.291,-6.158,0,88.364,46.814
Guatemala,GTM,GTQ,31,7.7215,4.014763971,5.354058722,8680.129676,-30.66,-32.558,-29.882,29.104,14.111,-11.354,-23.884,-18.889,52.783,19.082
Hong Kong,HKG,HKD,24,7.7877,3.081782811,4.14507772,95552.70944,-46.774,-48.231,-46.177,-0.898,-12.407,-48.711,-55.961,-53.071,-11.603,-31.102
Honduras,HND,HNL,105,25.465,4.123306499,18.13471503,4455.077451,-28.786,-30.735,-27.987,32.594,17.196,-7.487,-20.564,-15.351,59.447,24.276
Hungary,HUN,HUF,1420,389.43235,3.646332925,245.2504318,31851.81489,-37.024,-38.747,-36.317,17.256,3.64,-25.942,-36.411,-32.238,27.639,-0.516
Indonesia,IDN,IDR,41000,16172.5,2.535167723,7081.174439,10586.47858,-56.215,-57.413,-55.723,-18.476,-27.943,-44.422,-52.278,-49.146,-4.21,-25.34
India,IND,INR,226,86.34125,2.617520594,39.0328152,5296.608788,-54.792,-56.03,-54.285,-15.828,-25.602,-41.46,-49.735,-46.436,0.894,-21.361
Israel,ISR,ILS,17,3.60575,4.714691812,2.936096718,65755.07502,-18.572,-20.801,-17.658,51.612,34.005,-14.296,-26.411,-21.581,47.712,15.13
Jordan,JOR,JOD,2.5,0.709,3.526093089,0.431778929,7370.162796,-39.1,-40.767,-38.417,13.39,0.222,-21.758,-32.818,-28.409,34.851,5.105
Japan,JPN,JPY,480,154.355,3.109714619,82.9015544,57447.73286,-46.292,-47.762,-45.689,0,-11.613,-41.979,-50.181,-46.911,0,-22.058
South Korea,KOR,KRW,5500,1431.2,3.842929011,949.9136442,48881.68428,-33.628,-35.445,-32.884,23.578,9.227,-26.292,-36.711,-32.558,27.037,-0.985
Kuwait,KWT,KWD,1.4,0.3081,4.543979228,0.2417962,42329.35003,-21.52,-23.668,-20.64,46.122,29.153,-10.939,-23.529,-18.51,53.497,19.639
Lebanon,LBN,LBP,480000,89550,5.360134003,82901.5544,,-7.424,-9.958,-6.386,72.367,52.351,,,,,
Moldova,MDA,MDL,65,18.45,3.52303523,11.22625216,10720.69862,-39.153,-40.819,-38.47,13.291,0.135,-22.803,-33.716,-29.366,33.049,3.701
Mexico,MEX,MXN,95,20.647,4.60115271,16.40759931,14764.33185,-20.533,-22.708,-19.641,47.961,30.778,-0.679,-14.719,-9.122,71.181,33.422
Malaysia,MYS,MYR,13.15,4.3785,3.003311636,2.271157168,24278.66719,-48.129,-49.549,-47.547,-3.422,-14.637,-37.361,-46.216,-42.686,7.959,-15.855
Nicaragua,NIC,NIO,164,36.6243,4.477901284,28.32469775,3435.772796,-22.661,-24.778,-21.794,43.997,27.275,0.862,-13.396,-7.712,73.837,35.492
Norway,NOR,NOK,75,11.2368,6.674498078,12.95336788,71520.73962,15.276,12.121,16.57,114.634,89.709,19.202,2.352,9.069,105.445,60.128
New Zealand,NZL,NZD,8.4,1.759479194,4.77414,1.450777202,53198.87498,-17.545,-19.802,-16.62,53.523,35.695,-9.705,-22.469,-17.381,55.625,21.297
Oman,OMN,OMR,1.53,0.385,3.974025974,0.264248705,30647.97994,-31.364,-33.243,-30.594,27.794,12.954,-18.949,-30.406,-25.839,39.691,8.878
Pakistan,PAK,PKR,1050,278.85,3.765465304,181.3471503,1998.316221,-34.966,-36.746,-34.236,21.087,7.026,-14.715,-26.771,-21.965,46.99,14.567
Peru,PER,PEN,16.9,3.73135,4.529191847,2.918825561,10148.76682,-21.776,-23.917,-20.898,45.647,28.733,-0.544,-14.603,-8.999,71.413,33.603
Philippines,PHL,PHP,169,58.435,2.892102336,29.18825561,7444.948745,-50.05,-51.417,-49.49,-6.998,-17.798,-35.844,-44.913,-41.298,10.573,-13.817
Poland,POL,PLN,20.9,4.01115,5.210475799,3.609671848,25704.10882,-10.009,-12.472,-8.999,67.555,48.097,8.125,-7.159,-1.066,86.355,45.249
Qatar,QAT,QAR,15,3.641,4.119747322,2.590673575,97707.24048,-28.847,-30.795,-28.049,32.48,17.095,-31.853,-41.486,-37.646,17.452,-8.455
Romania,ROU,RON,16.25,4.73835,3.429463843,2.80656304,30023.51232,-40.769,-42.39,-40.105,10.282,-2.525,-29.904,-39.812,-35.863,20.812,-5.837
Saudi Arabia,SAU,SAR,19,3.7508,5.065586008,3.281519862,37173.7174,-12.511,-14.906,-11.53,62.896,43.979,1.023,-13.257,-7.565,74.114,35.708
Singapore,SGP,SGD,6.95,1.3444,5.169592383,1.200345423,94788.01752,-10.715,-13.159,-9.713,66.24,46.935,-13.777,-25.966,-21.107,48.605,15.826
Sweden,SWE,SEK,62,10.93675,5.668960157,10.70811744,54926.04158,-2.09,-4.77,-0.992,82.298,61.129,6.626,-8.446,-2.438,83.771,43.235
Thailand,THA,THB,135,33.6925,4.006826445,23.31606218,10952.19879,-30.797,-32.692,-30.021,28.849,13.886,-12.278,-24.678,-19.736,51.189,17.84
Turkey,TUR,TRY,190,35.74025,5.31613517,32.81519862,9475.541673,-8.184,-10.697,-7.154,70.953,51.1,17.031,0.488,7.082,101.704,57.212
Taiwan,TWN,TWD,78,32.728,2.383280372,13.47150259,74946.37715,-58.838,-59.965,-58.376,-23.36,-32.26,-57.875,-63.83,-61.456,-27.398,-43.412
Ukraine,UKR,UAH,120,42,2.857142857,20.7253886,9270.923923,-50.654,-52.005,-50.1,-8.122,-18.792,-37.054,-45.952,-42.405,8.488,-15.442
Uruguay,URY,UYU,299,43.27,6.910099376,51.64075993,16280.83369,19.345,16.079,20.684,122.21,96.405,48.336,27.367,35.726,155.658,99.265
United States,USA,USD,5.79,1,5.79,1,82715.1,0,-2.737,1.122,86.191,64.569,0,-14.136,-8.501,72.351,34.334
Venezuela,VEN,VES,252,56.5814,4.453760423,43.52331606,,-23.078,-25.184,-22.215,43.221,26.589,,,,,
Vietnam,VNM,VND,76000,25078,3.030544701,13126.07945,7764.116477,-47.659,-49.092,-47.072,-2.546,-13.863,-32.854,-42.345,-38.562,15.727,-9.8
South Africa,ZAF,ZAR,51.9,18.6913,2.7766929,8.96373057,12583.46791,-52.043,-53.356,-51.505,-10.709,-21.078,-39.577,-48.119,-44.714,4.139,-18.832
